COURSE_ID            SEC_ID        SEMESTER       YEAR        GRADE        ID
01                    05              02           12           04         01150611  
02                    03              02           13           03         01161213 
03                    07              02           14           02         01170512  
23                    12              01           15           01         01160334
45                    08              02           13           03         01161023
33                    12              02           12           04         01090440
14                    23              02           13           03         01130527
60                    25              01           15           01         01140622
70                    33              01           15           01         01120502
44                    46              01           14           02         01170613
34                    09              02           12           04         01150935
35                    18              01           14           02         01151021
