ID               COURSE_ID         SEC_ID        SEMESTER          YEAR
02030923            01               05             02              12
02030923            02               03             02              13
02030923            03               07             02              14
02120134            23               12             01              15
02240156            45               08             02              13
02120365            33               12             02              12
02011012            14               23             02              13
02451343            60               25             01              15
02610566            70               33             01              15
02170888            44               46             01              14
02060523            34               09             02              12
02221111            35               18             01              14
